Date,Open,High,Low,Last Close
2021-01-05,304,305,304,305
2021-01-07,310,313,310,313
2021-01-08,315,315,314,314
2021-01-11,316,317,316,317
2021-01-12,316,316,316,316
2021-01-13,315,316,314,316
2021-01-14,318,318,318,318
2021-01-15,315,315,315,315
2021-01-18,314,316,314,316
2021-01-19,316,316,316,316
2021-01-20,317,320,317,320
2021-01-21,322,322,321,321
2021-01-22,319,319,319,319
2021-01-25,320,321,318,318
2021-01-26,321,321,320,320
2021-01-27,319,319,317,317
2021-01-28,312,318,311,318
2021-01-29,312,312,311,311
2021-02-01,311,314,311,314
2021-02-02,317,322,317,322
2021-02-03,323,323,322,322
2021-02-04,322,325,322,325
2021-02-05,327,327,326,326
2021-02-08,329,329,327,327
2021-02-09,328,328,326,326
2021-02-10,327,327,325,325
2021-02-11,327,327,326,326
2021-02-12,326,327,326,327
2021-02-15,329,330,329,330
2021-02-17,329,329,328,328
2021-02-18,329,329,327,327
2021-02-19,329,329,329,329
2021-02-22,325,325,323,323
2021-02-23,323,323,320,320
2021-02-24,322,325,322,325
2021-02-25,326,326,322,322
2021-02-26,317,320,317,320
2021-03-01,323,323,323,323
2021-03-02,327,327,325,325
2021-03-03,326,326,323,323
2021-03-04,320,322,320,322
2021-03-05,318,318,318,318
2021-03-08,325,330,325,330
2021-03-09,328,331,328,331
2021-03-10,329,332,329,332
2021-03-11,333,334,332,334
2021-03-12,332,333,332,333
2021-03-15,334,334,334,334
2021-03-16,337,338,337,338
2021-03-17,337,338,337,337
2021-03-18,336,336,336,336
2021-03-19,333,334,333,334
2021-03-22,332,335,332,335
2021-03-23,335,336,335,336
2021-03-24,337,337,337,337
2021-03-25,335,335,334,334
2021-03-26,338,338,338,338
2021-03-29,340,340,340,340
2021-03-30,342,342,342,342
2021-03-31,342,343,342,343
2021-04-01,345,345,345,345
2021-04-06,349,349,349,349
2021-04-07,347,347,347,347
2021-04-08,349,349,348,348
2021-04-09,349,350,349,350
2021-04-12,351,351,351,351
2021-04-13,352,352,352,352
2021-04-14,351,351,351,351
2021-04-15,350,352,350,352
2021-04-16,353,353,353,353
2021-04-19,353,353,353,353
2021-04-20,350,350,350,350
2021-04-21,350,350,350,350
2021-04-22,351,352,351,352
2021-04-23,349,351,349,351
2021-04-26,350,352,350,352
2021-04-27,352,352,352,352
2021-04-28,353,353,351,351
2021-04-29,352,352,351,351
2021-04-30,352,352,352,352
2021-05-03,353,353,352,352
2021-05-04,353,353,349,349
2021-05-05,353,354,353,353
2021-05-06,352,352,350,350
2021-05-07,353,353,353,353
2021-05-10,353,353,352,353
2021-05-11,349,349,346,346
2021-05-12,347,347,345,345
2021-05-13,341,345,341,345
2021-05-14,346,348,346,348
2021-05-17,348,348,346,346
2021-05-18,348,348,346,346
2021-05-19,340,340,338,339
2021-05-20,342,345,342,345
2021-05-21,346,347,346,347
2021-05-25,349,349,348,348
2021-05-27,348,350,348,350
2021-05-28,351,352,351,351
2021-05-31,348,348,348,348
2021-06-01,349,349,349,349
2021-06-02,349,350,349,350
2021-06-03,351,351,351,351
2021-06-04,352,352,352,352
2021-06-07,353,353,351,351
2021-06-08,352,353,351,351
2021-06-09,353,353,353,353
2021-06-10,353,353,353,353
2021-06-11,353,356,353,356
2021-06-14,357,357,355,355
2021-06-15,357,357,355,355
2021-06-18,357,357,357,357
2021-06-21,359,359,359,359
2021-06-22,361,362,361,362
2021-06-23,362,362,361,361
2021-06-24,361,363,361,363
